ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,634.4088852,581.4683317,153.1486838,0.879468892,27.36734229,57.54772181,0.478051664,0.021289812,0,1,0
1,6456.325968,499.8006142,165.2460243,8.984748349,27.25461542,72.51384252,0.465026855,0.023124472,1,0,1
1,2019.270214,1980.934746,63.85217157,0.865414098,73.23740318,53.61008411,0.000595093,2.69E-05,1,1,0
1,465.9803501,400.8658163,155.0325095,0.580174127,15.02429433,99.80661027,0.370731221,0.016846491,0,1,1
1,1000.694452,451.6637318,187.8889122,2.901181307,21.85401913,52.9822238,0.390702242,0.018554403,0,1,0
1,1282.763447,1448.356601,134.0809239,3.977189729,68.75601404,64.25863484,0.00239563,9.62E-05,1,0,1
1,546.9142701,534.5891854,135.3113764,0.398105402,34.50039798,52.47825828,0.000973062,3.51E-05,1,0,0
1,700.1357964,610.2457731,158.6090754,1.355474865,29.14629203,46.82583751,0.3081662,0.014502488,0,1,1
1,460.1247801,373.3007604,188.6630875,0.879728255,22.64601489,60.75389654,0.236600859,0.011469486,0,1,1
1,667.1140303,362.7530719,101.0936093,1.723507153,48.66046369,65.13503352,0.385492961,0.01708491,0,1,1
1,514.77523,406.5994293,119.048651,0.460509963,29.71211971,40.66061559,0.224879808,0.009592355,0,1,1
1,719.407896,1091.333843,136.4369988,4.639671338,80.6562589,71.97437988,0.247252507,0.010885493,0,1,0
1,1339.913172,1868.355877,92.83247655,0.401644158,65.46714893,55.5049207,0.487290776,0.021704298,0,1,0
1,607.4049239,284.6191353,177.9128079,1.48231662,26.12922748,71.72402023,0.002499382,8.88E-05,0,1,1
1,988.8917956,2324.237994,27.5851848,0.42675941,44.08449945,48.40687341,0.146794964,0.006677274,0,1,0
1,1671.660085,642.0679827,83.12603007,3.219758761,51.88104518,65.93831945,0.642817804,0.029293171,1,0,1
1,1094.283827,1093.373325,54.98565823,0.4783901,21.64667908,50.63997946,0.462231946,0.021481938,0,1,0
1,2685.471926,1346.009312,112.3978953,5.160649441,48.99434356,54.58560965,0.491105965,0.023288896,1,0,1
1,2944.611877,299.2905383,145.8406848,5.111921173,30.92958825,70.63805666,0.596842448,0.027331111,1,0,1
1,1870.650945,5219.50149,79.28939867,3.478280522,10.3183127,70.25440831,0.453504985,0.019403167,1,0,0
1,753.09901,736.6125331,67.38815931,0.665360949,29.29372745,43.67945852,0.326820374,0.014604011,1,1,0
1,168.9750294,166.9472686,88.2222392,0.41751359,78.46870876,49.83858519,0.552751545,0.025376062,0,1,0
1,1433.531126,1398.141723,99.32379876,2.595426386,63.43903181,64.47925989,0.00227356,0.000108061,1,1,0
1,453.6731651,327.7206176,110.2037409,2.036588357,111.4887402,84.56067751,0.631092131,0.027113295,0,1,0
1,1643.503919,1971.036577,29.2516972,2.085573732,57.12851767,34.91752403,0.48578726,0.021527775,0,1,0
1,1537.138778,671.8603403,56.45012619,1.534367305,10.75037449,35.72492217,0.297887166,0.01290439,0,1,1
1,1630.737048,1669.869058,51.48334515,0.621110004,21.12336869,36.52092627,0.375030399,0.017033159,1,0,0
